1000023 0 1000023_0 LR Farm_2 2014_09 2014_35 Farm_2_2014_35 12 11 0.693 0 0.693 11.733 10.812 0.634 0.287 0.921 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
1000048 0 1000048_0 LR Farm_2 2014_08 2014_35 Farm_2_2014_35 11 11 0 0 0 11.944 10.978 0.689 0.278 0.967 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
1000075 1 1000075_1 LR Farm_2 2014_11 2014_48 Farm_2_2014_48 13 9 0 1.609 1.609 10.67 10.023 0.352 0.295 0.648 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
1000081 1 1000081_1 LR Farm_2 2014_11 2014_44 Farm_2_2014_44 7 7 0 0 0 11.081 10.293 0.586 0.202 0.788 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
1000094 1 1000094_1 LR Farm_2 2014_10 2014_41 Farm_2_2014_41 12 11 0 0.693 0.693 11.963 11.102 0.583 0.278 0.861 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 10 1.02623254068256 2015-06-19 7 3
1000096 1 1000096_1 LR Farm_2 2014_11 2014_45 Farm_2_2014_45 15 14 0.693 0 0.693 11.152 10.434 0.515 0.202 0.717 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 10 0.885314892499546 2015-06-19 9 3
1000112 1 1000112_1 LR Farm_1 2015_01 2015_04 Farm_1_2015_04 15 14 0 0.693 0.693 11.333 10.509 0.544 0.281 0.825 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
1000128 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 2 1000128_2 LR Farm_1 2015_03 2015_12 Farm_1_2015_12 11 8 0.693 1.099 1.386 12.162 8.189 1.495 2.477 3.973 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
1000130 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 2 1000130_2 LR Farm_1 2015_03 2015_11 Farm_1_2015_11 12 5 0 2.079 2.079 12.139 8.278 1.47 2.391 3.861 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
1000177 1 1000177_1 LR Farm_2 2014_12 2014_49 Farm_2_2014_49 8 8 0 0 0 10.756 10.111 0.356 0.289 0.644 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 3 1000177_3 LR Farm_2 2015_09 2015_37 Farm_2_2015_37 11 11 0 0 0 10.632 9.877 0.33 0.425 0.755 -999 -999 -999 -999 -999
